rank,player,team,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,guaranteed,source_status,as_of_date
397,Jae'Sean Tate,HOU,2449421,,,,,,2449421,uploaded,2026-09-09
398,Bogdan Bogdanović,HOU,2449421,,,,,,2449421,uploaded,2026-09-09
399,Gary Payton II,GSW,2449421,,,,,,2449421,uploaded,2026-09-09
400,Charles Bassey,GSW,2449421,,,,,,2449421,uploaded,2026-09-09
401,Marvin Bagley III,DEN,2449421,,,,,,2449421,uploaded,2026-09-09
402,Tyus Jones,DEN,2449421,,,,,,2449421,uploaded,2026-09-09
403,Mario Hezonja,CLE,2449421,,,,,,2449421,uploaded,2026-09-09
404,Thomas Bryant,CLE,2449421,,,,,,2449421,uploaded,2026-09-09
405,Mike Conley,BOS,2449421,,,,,,2449421,uploaded,2026-09-09
406,Haywood Highsmith,PHO,3449421,,,,,,1000000,uploaded,2026-09-09
407,Trendon Watford,NOP,2449421,,,,,,,uploaded,2026-09-09
408,John Butler,MIL,2449421,,,,,,,uploaded,2026-09-09
409,Yuki Kawamura,LAC,2449421,,,,,,,uploaded,2026-09-09
410,Georges Niang,GSW,2449421,,,,,,,uploaded,2026-09-09
411,Brandon Williams,GSW,2449421,,,,,,,uploaded,2026-09-09
412,Cam Spencer,MEM,2411090,2616754,2830685,,,,5027844,uploaded,2026-09-09
413,Justin Edwards,PHI,2411090,2616754,,,,,2411090,uploaded,2026-09-09
414,Tolu Smith,DET,2411090,,,,,,2411090,uploaded,2026-09-09
415,Nae'Qwan Tomlin,CLE,2411090,,,,,,2411090,uploaded,2026-09-09
416,Ryan Kalkbrenner,CHO,2411090,2525901,2735698,,,,2411090,uploaded,2026-09-09
417,Sion James,CHO,2411090,2525901,2735698,,,,2411090,uploaded,2026-09-09
418,Jordan Walsh,BOS,2406205,4629630,5000000,5370370,,,17406205,uploaded,2026-09-09
419,Trayce Jackson-Davis,TOR,2406205,,,,,,2406205,uploaded,2026-09-09
420,GG Jackson II,MEM,2406205,,,,,,2406205,uploaded,2026-09-09
421,Craig Porter Jr.,CLE,2406205,,,,,,2406205,uploaded,2026-09-09
422,Leonard Miller,CHI,2406205,,,,,,2406205,uploaded,2026-09-09
423,Mouhamed Gueye,ATL,2406205,,,,,,2406205,uploaded,2026-09-09
424,Jamal Shead,TOR,2296271,,,,,,2296271,uploaded,2026-09-09
425,Tyler Kolek,NYK,2296271,2486995,,,,,2296271,uploaded,2026-09-09
426,Karlo Matković,NOP,2296271,,,,,,2296271,uploaded,2026-09-09
427,Pelle Larsson,MIA,2296271,,,,,,2296271,uploaded,2026-09-09
428,Johnny Furphy,IND,2296271,2486995,,,,,2296271,uploaded,2026-09-09
429,Jamison Battle,TOR,2296271,,,,,,,uploaded,2026-09-09
430,Oso Ighodaro,PHO,2296271,2486995,,,,,,uploaded,2026-09-09
431,Adem Bona,PHI,2296271,2486995,,,,,,uploaded,2026-09-09
432,Jaylen Wells,MEM,2296271,2486995,,,,,,uploaded,2026-09-09
433,Bronny James,LAL,2296271,2486995,,,,,,uploaded,2026-09-09
434,Cam Christie,LAC,2296271,2486995,,,,,,uploaded,2026-09-09
435,Mohamed Diawara,NYK,2232143,2410714,2589286,2767857,,,10000000,uploaded,2026-09-09
436,JaVale McGee,DAL,2208856,2208856,,,,,4417712,uploaded,2026-09-09
437,Alijah Martin,TOR,2185116,2571895,,,,,2185116,uploaded,2026-09-09
438,Moussa Cisse,DAL,2185116,2571895,,,,,2185116,uploaded,2026-09-09
439,Malachi Smith,TOR,2185116,,,,,,,uploaded,2026-09-09
440,Taelon Peter,SAS,2185116,,,,,,,uploaded,2026-09-09
441,Rasheer Fleming,PHO,2150917,2525901,2735698,,,,4676818,uploaded,2026-09-09
442,Maxime Raynaud,SAC,2150917,2525901,,,,,2150917,uploaded,2026-09-09
443,Noah Penda,ORL,2150917,2525901,2735698,,,,2150917,uploaded,2026-09-09
444,Micah Peavy,NOP,2150917,2525901,2735698,,,,2150917,uploaded,2026-09-09
445,Adou Thiero,LAL,2150917,2525901,,,,,2150917,uploaded,2026-09-09
446,Johni Broome,LAC,2150917,2525901,2735698,,,,2150917,uploaded,2026-09-09
447,Will Richard,GSW,2150917,2525901,2735698,,,,2150917,uploaded,2026-09-09
448,Chaz Lanier,DET,2150917,2525901,2735698,,,,2150917,uploaded,2026-09-09
449,Tyrese Proctor,CLE,2150917,2525901,2735698,,,,2150917,uploaded,2026-09-09
450,Ryan Nembhard,ATL,2150917,,,,,,2150917,uploaded,2026-09-09
451,Myron Gardner,MIA,2150917,2525901,,,,,,uploaded,2026-09-09
452,John Konchar,MIN,2055000,2055000,2055000,,,,6165000,uploaded,2026-09-09
453,Cam Whitmore,CLE,1819437,1819437,1819437,,,,5458311,uploaded,2026-09-09
454,Baba Miller,LAC,1705630,2294370,2694363,2918152,,,4000000,uploaded,2026-09-09
455,Isaiah Evans,MIN,1357763,2294370,2694363,2918152,,,6346496,uploaded,2026-09-09
456,Bogoljub Markovic,MIL,1357763,2294370,2694363,2918152,,,6346496,uploaded,2026-09-09
457,Meleek Thomas,CLE,1357763,2294370,2694363,2918152,,,6346496,uploaded,2026-09-09
458,Emanuel Sharp,SAC,1357763,2294370,2694363,,,,3652133,uploaded,2026-09-09
459,Ryan Conwell,MIA,1357763,2294370,2694363,,,,3652133,uploaded,2026-09-09
460,Henri Veesaar,ATL,1357763,2294370,2694363,2918152,,,3652133,uploaded,2026-09-09
461,Bruce Thornton,HOU,1357763,2294370,2694363,2918152,,,1357763,uploaded,2026-09-09
462,Trevon Brazile,DEN,1357763,,,,,,1357763,uploaded,2026-09-09
463,Khalifa Diop,CLE,1357763,2294370,2694363,2918152,,,1357763,uploaded,2026-09-09
464,Nate Bittle,TOR,1357763,,,,,,,uploaded,2026-09-09
465,Tacko Fall,PHI,1357763,,,,,,,uploaded,2026-09-09
466,Jameer Nelson Jr.,PHI,1357763,,,,,,,uploaded,2026-09-09
467,Saint Thomas,PHI,1357763,,,,,,,uploaded,2026-09-09
468,J'Vonne Hadley,MIA,1357763,,,,,,,uploaded,2026-09-09
469,Dalen Terry,GSW,1357763,,,,,,,uploaded,2026-09-09
470,Tucker DeVries,BOS,1357763,,,,,,,uploaded,2026-09-09
471,Milos Uzan,BOS,1357763,,,,,,,uploaded,2026-09-09
472,Olivier-Maxence Prosper,DAL,3500172,1002360,,,,,2004720,uploaded,2026-09-09
473,Haywood Highsmith,PHO,3449421,,,,,,1000000,uploaded,2026-09-09
474,E.J. Liddell,PHO,706898,,,,,,706898,uploaded,2026-09-09
475,Vasilije Micić,MIL,666667,666667,,,,,1333334,uploaded,2026-09-09
476,Mamadi Diakite,MEM,464050,,,,,,464050,uploaded,2026-09-09
477,Ricky Rubio,CLE,424672,,,,,,424672,uploaded,2026-09-09
478,Didi Louzada,POR,268032,268032,268032,,,,804096,uploaded,2026-09-09
